index,symbol,companyName,floor,industryName
309,VCM,Công ty Cổ phần Nhân lực và Thương mại Vinaconex ,HNX,Dịch vụ cung ứng lao động và đào tạo
310,VCS,Công ty Cổ phần VICOSTONE,HNX,Vật liệu xây dựng
311,VDL,Công ty Cổ phần Thực phẩm Lâm Đồng ,HNX,"Rượu, đồ uống có cồn"
312,VE1,Công ty Cổ phần Xây dựng điện VNECO 1 ,HNX,Xây dựng công trình
313,VE2,Công ty Cổ phần Xây dựng Điện VNECO 2 ,HNX,Xây dựng công trình
314,VE3,Công ty Cổ phần Xây dựng điện VNECO 3 ,HNX,Xây dựng công trình
315,VE4,Công ty Cổ phần xây dựng điện VNECO 4 ,HNX,Xây dựng công trình
316,VE8,Công ty Cổ phần Xây dựng Điện Vneco 8 ,HNX,Xây dựng công trình
317,VGP,Công ty Cổ phần Cảng rau quả,HNX,Dịch vụ vận tải
318,VGS,Công ty Cổ phần Ống thép Việt Đức VG PIPE,HNX,Thép
319,VHE,Công ty cổ phần Dược liệu và Thực phẩm Việt Nam,HNX,Bán lẻ dược phẩm
320,VHL,Công ty Cổ phần Viglacera Hạ Long,HNX,Vật liệu xây dựng
321,VIE,Công ty Cổ phần Công nghệ Viễn thông VITECO,HNX,Thiết bị viễn thông
322,VIF,Tổng công ty Lâm nghiệp Việt Nam - Công ty cổ phần,HNX,Chế phẩm từ gỗ
323,VIG,Công ty Cổ phần Chứng khoán Thương mại và Công nghiệp Việt Nam (VICS) ,HNX,Dịch vụ đầu tư
324,VIT,Công ty Cổ phần Viglacera Tiên Sơn ,HNX,Vật liệu xây dựng
325,VKC,Công ty Cổ phần Cáp Nhựa Vĩnh Khánh,HNX,Công nghiệp đa ngành
326,VLA,Công ty Cổ phần Đầu tư và Phát triển Công nghệ Văn Lang,HNX,Phần mềm
327,VMC,Công ty Cổ phần VIMECO,HNX,Xây dựng công trình
328,VMS,Công ty Cổ phần Phát triển Hàng hải,HNX,Vận tải biển
329,VNC,Công ty Cổ phần Tập đoàn Vinacontrol,HNX,Dịch vụ hỗ trợ kinh doanh
330,VNF,Công ty cổ phần VINAFREIGHT,HNX,Dịch vụ vận tải
331,VNR,Tổng Công ty Cổ phần tái bảo hiểm quốc gia Việt Nam,HNX,Tái bảo hiểm
332,VNT,Công ty Cổ phần Giao nhận Vận tải Ngoại thương,HNX,Dịch vụ giao nhận
333,VSA,Công ty Cổ phần Đại lý Hàng hải Việt Nam,HNX,Vận tải biển
334,VSM,Công ty Cổ phần Container Miền Trung,HNX,Dịch vụ vận tải
335,VTC,Công ty Cổ phần viễn thông VTC,HNX,Dịch vụ viễn thông cố định
336,VTH,Công ty Cổ phần Dây Cáp Điện Việt Thái,HNX,Thiết bị viễn thông
337,VTJ,Công ty Cổ phần Thương mại và Đầu tư VI NA TA BA,HNX,Thuốc lá
338,VTL,Công ty Cổ phần Vang Thăng Long,HNX,"Rượu, đồ uống có cồn"
339,VTV,CÔNG TY CỔ PHẦN NĂNG LƯỢNG VÀ MÔI TRƯỜNG VICEM,HNX,Vật liệu xây dựng
340,VTZ,Công ty Cổ phần Sản xuất và Thương mại Nhựa Việt Thành,HNX,Sản phẩm sinh hóa
341,VXB,Công ty Cổ phần Vật liệu xây dựng Bến Tre,HNX,Vật liệu xây dựng
342,WCS,Công ty Cổ phần Bến xe miền Tây,HNX,Du lịch
343,WSS,Công ty Cổ phần Chứng khoán phố Wall,HNX,Dịch vụ đầu tư
344,X20,Công ty cổ phần X20,HNX,"Đồ may mặc, trang sức, phụ kiện"
