index,symbol,companyName,floor,industryName
516,NTC,Công ty cổ phần Khu Công nghiệp Nam Tân Uyên,UPCOM,Đầu tư và phát triển bất động sản
517,NTF,Công ty cổ phần Dược - Vật tư Y tế Nghệ An,UPCOM,Dược phẩm
518,NTT,Công ty cổ phần Dệt - May Nha Trang,UPCOM,"Đồ may mặc, trang sức, phụ kiện"
519,NTW,Công ty Cổ phần Cấp nước Nhơn Trạch,UPCOM,Nước
520,NUE,Công ty cổ phần Môi trường Đô thị Nha Trang,UPCOM,Dịch vụ xử lý phế liệu phế thải
521,NVP,Công ty cổ phần Nước sạch Vĩnh Phúc,UPCOM,Nước
522,NWT,Công ty Cổ phần Vận tải Newway,UPCOM,Dịch vụ vận tải
523,NXT,Công ty cổ phần sản xuất và cung ứng vật liệu xây dựng Kom Tum,UPCOM,Vật liệu xây dựng
524,OIL,Tổng Công ty Dầu Việt Nam – Công ty cổ phần,UPCOM,Dầu khí tổng hợp
525,ONW,Công ty Cổ phần Dịch vụ Một Thế Giới,UPCOM,Phần mềm
526,PAI,"Công ty Cổ phần Công nghệ Thông tin, Viễn thông và Tự động hóa Dầu Khí",UPCOM,Dịch vụ máy tính
527,PAP,Công ty Cổ phần Dầu khí Đầu tư Khai thác Cảng Phước An,UPCOM,Dịch vụ vận tải
528,PAS,CÔNG TY CỔ PHẦN QUỐC TẾ PHƯƠNG ANH,UPCOM,Thép
529,PBC,Công ty cổ phần Dược phẩm Trung Ương I - Pharbaco,UPCOM,Dược phẩm
530,PBT,Công ty Cổ phần Nhà và Thương mại Dầu khí,UPCOM,Bao bì & đóng gói
531,PCC,Công ty cổ phần Tập đoàn Xây lắp 1 - Petrolimex,UPCOM,Xây dựng công trình
532,PCF,Công ty Cổ phần Cà Phê PETEC,UPCOM,Sản xuất thực phẩm
533,PCM,Công ty Cổ phần Vật liệu xây dựng Bưu Điện,UPCOM,Vật liệu xây dựng
534,PCN,Công ty cổ phần Hóa phẩm Dầu khí DMC - Miền Bắc,UPCOM,Khai thác và sản xuất dầu khí 
535,PDT,Công ty cổ phần Thương mại Dầu khí Đồng Tháp,UPCOM,Gas
536,PDV,Công ty Cổ phần Vận tải Dầu Phương Đông Việt,UPCOM,Vận tải biển
537,PEC,Công ty Cổ phần Cơ khí Điện lực,UPCOM,Vật liệu xây dựng
538,PEG,Tổng Công ty Thương mại Kỹ thuật và Đầu tư - Công ty cổ phần,UPCOM,Gas
539,PEQ,Công ty Cổ phần Thiết bị xăng dầu Petrolimex,UPCOM,Dịch vụ và Thiết bị dầu khí
540,PFL,Công ty Cổ phần Dầu khí Đông Đô,UPCOM,Đầu tư và phát triển bất động sản
541,PGB,NGÂN HÀNG TMCP XĂNG DẦU PETROLIMEX,UPCOM,Ngân hàng
542,PGV,Tổng Công ty Phát điện 3 - Công ty cổ phần,UPCOM,Điện
543,PHH,Công ty Cổ phần Hồng Hà Việt Nam ,UPCOM,Xây dựng công trình
544,PHS,Công ty Cổ phần Chứng khoán Phú Hưng,UPCOM,Dịch vụ đầu tư
545,PID,Công ty Cổ phần Trang trí nội thất Dầu khí ,UPCOM,Vật liệu xây dựng
546,PIS,Tổng công ty PISICO Bình Định - CTCP,UPCOM,Chế phẩm từ gỗ
547,PIV,Công ty Cổ phần PIV,UPCOM,Tài chính chuyên biệt
548,PJS,Công ty Cổ phần cấp nước Phú Hòa Tân,UPCOM,Nước
549,PLA,Công ty cổ phần Đầu tư và Dịch vụ Hạ tầng Xăng Dầu,UPCOM,Đầu tư và phát triển bất động sản
550,PLE,Công ty Cổ phần Tư vấn Xây Dựng Petrolimex,UPCOM,Dịch vụ và Thiết bị dầu khí
551,PLO,Công ty Cổ phần Kho vận Petec,UPCOM,Dịch vụ giao nhận
552,PMJ,Công ty Cổ phần vật tư Bưu điện,UPCOM,Thiết bị viễn thông
553,PMT,Công ty cổ phần Viễn thông Telvina Việt Nam,UPCOM,Thiết bị viễn thông
554,PMW,Công ty cổ phần Cấp nước Phú Mỹ,UPCOM,Nước
555,PND,Công ty cổ phần Xăng dầu Dầu khí Nam Định,UPCOM,Dịch vụ và Thiết bị dầu khí
556,PNG,Công ty cổ phần thương mại Phú Nhuận,UPCOM,Sản xuất thực phẩm
557,PNP,Công ty Cổ phần Tân Cảng - Phú Hữu,UPCOM,Vận tải biển
558,PNT,Công ty Cổ phần Kỹ thuật Xây dựng Phú Nhuận,UPCOM,Đầu tư và phát triển bất động sản
559,POB,Công ty Cổ phần Xăng dầu Dầu khí Thái Bình,UPCOM,Dầu khí tổng hợp
560,POS,"Công ty cổ phần Dịch vụ Lắp đặt, Vận hành và Bảo dưỡng Công trình Dầu khí biển PTSC",UPCOM,Dịch vụ và Thiết bị dầu khí
561,POV,Công ty Cổ phần Xăng dầu Dầu khí Vũng Áng,UPCOM,Dịch vụ và Thiết bị dầu khí
562,PPH,Tổng Công ty Cổ phần Phong Phú,UPCOM,"Đồ may mặc, trang sức, phụ kiện"
563,PPI,0,UPCOM,Đầu tư và phát triển bất động sản
564,PQN,Công ty Cổ phần Dịch vụ Dầu khí Quảng Ngãi PTSC,UPCOM,"Xây dựng, chế tạo nhà ở"
565,PRO,Công ty Cổ phần Procimex Việt Nam,UPCOM,Nông sản và thủy hải sản
566,PRT,Tổng Công ty cổ phần Sản xuất – Xuất nhập khẩu Bình Dương,UPCOM,Công nghiệp đa ngành
567,PSB,Công ty Cổ phần Đầu tư Dầu khí Sao Mai - Bến Đình,UPCOM,Xây dựng công trình
