index,symbol,companyName,floor,industryName
235,NVL,Công ty cổ phần Tập đoàn Đầu tư Địa ốc No Va,HOSE,Đầu tư và phát triển bất động sản
236,NVT,Công ty Cổ phần Bất động sản Du lịch Ninh Vân Bay,HOSE,Đầu tư và phát triển bất động sản
237,OCB,Ngân hàng Thương mại Cổ phần Phương Đông,HOSE,Ngân hàng
238,OGC,Công ty Cổ phần Tập đoàn Đại Dương ,HOSE,Đầu tư và phát triển bất động sản
239,OPC,Công ty Cổ phần Dược phẩm OPC ,HOSE,Dược phẩm
240,ORS,Công ty Cổ phần Chứng khoán Tiên Phong,HOSE,Dịch vụ đầu tư
241,PAC,Công ty Cổ phần Pin Ắc quy miền Nam,HOSE,Thiết bị điện
242,PAN,Công ty Cổ phần Tập đoàn PAN,HOSE,Sản xuất thực phẩm
243,PC1,Công ty cổ phần Xây lắp điện I,HOSE,Xây dựng công trình
244,PDN,Công ty Cổ phần Cảng Đồng Nai ,HOSE,Dịch vụ vận tải
245,PDR,Công ty Cổ phần Phát triển Bất động sản Phát Đạt ,HOSE,Đầu tư và phát triển bất động sản
246,PET,Tổng Công ty Cổ phần Dịch vụ Tổng hợp Dầu khí ,HOSE,Cửa hàng chuyên dụng
247,PGC,Tổng Công ty Gas Petrolimex - CTCP,HOSE,Gas
248,PGD,Công ty Cổ phần Phân phối khí Thấp áp Dầu khí Việt Nam,HOSE,Gas
249,PGI,Tổng Công ty Cổ phần Bảo hiểm Petrolimex ,HOSE,Bảo hiểm đa ngành
250,PHC,Công ty Cổ phần Xây dựng Phục Hưng Holdings,HOSE,Xây dựng công trình
251,PHR,Công ty Cổ phần Cao su Phước Hòa ,HOSE,Hóa chất cơ bản
252,PIT,Công ty Cổ phần Xuất nhập khẩu Petrolimex,HOSE,Nông sản và thủy hải sản
253,PJT,Công ty Cổ phần Vận tải Xăng dầu Đường Thủy Petrolimex,HOSE,Dịch vụ vận tải
254,PLP,Công ty cổ phần Sản xuất và Công nghệ Nhựa Pha Lê,HOSE,Khai khoáng nói chung
255,PLX,Tập đoàn Xăng dầu Việt Nam,HOSE,Dầu khí tổng hợp
256,PMG,Công ty Cổ phần Đầu tư và Sản xuất Petro Miền Trung,HOSE,Gas
257,PNC,Công ty Cổ phần văn hoá Phương Nam ,HOSE,Cửa hàng chuyên dụng
258,PNJ,Công ty Cổ phần Vàng bạc đá quý Phú Nhuận,HOSE,Cửa hàng chuyên dụng
259,POM,Công ty Cổ phần Thép Pomina,HOSE,Thép
260,POW,Tổng Công ty Điện lực Dầu khí Việt Nam – Công ty cổ phần,HOSE,Điện
261,PPC,Công ty Cổ phần Nhiệt điện Phả Lại ,HOSE,Điện
262,PSH,Công ty Cổ phần Thương mại Đầu tư Dầu khí Nam Sông Hậu,HOSE,Dầu khí tổng hợp
263,PTB,Công ty cổ phần Phú Tài,HOSE,Vật liệu xây dựng
264,PTC,Công ty Cổ phần Đầu tư và Xây dựng Bưu điện,HOSE,Xây dựng công trình
265,PTL,Công ty Cổ phần Đầu tư hạ tầng và Đô thị Dầu khí ,HOSE,Vật liệu xây dựng
266,PVD,Tổng Công ty Cổ phần Khoan và Dịch vụ khoan dầu khí,HOSE,Dịch vụ và Thiết bị dầu khí
267,PVT,Tổng Công ty Cổ phần Vận tải dầu khí,HOSE,Vận tải biển
268,PXI,Công ty Cổ phần Xây dựng Công nghiệp và Dân dụng Dầu khí,HOSE,Xây dựng công trình
269,PXS,Công ty Cổ phần Kết cấu Kim loại và Lắp máy Dầu khí,HOSE,Xây dựng công trình
270,QBS,Công ty Cổ phần Xuất nhập khẩu Quảng Bình,HOSE,Hóa chất đặc biệt
271,QCG,Công ty Cổ phần Quốc Cường Gia Lai ,HOSE,Đầu tư và phát triển bất động sản
272,RAL,Công ty Cổ phần Bóng đèn Phích nước Rạng Đông ,HOSE,Thiết bị điện
273,RDP,Công ty cổ phần Rạng Đông Holding,HOSE,Bao bì & đóng gói
274,REE,Công ty Cổ phần Cơ điện lạnh,HOSE,Dịch vụ tiện ích tổng hợp
275,RIC,Công ty Cổ phần Quốc tế Hoàng Gia,HOSE,Sòng bạc
276,ROS,Công ty cổ phần Xây dựng FLC Faros,HOSE,Xây dựng công trình
277,S4A,Công ty Cổ phần Thủy điện Sê San 4A,HOSE,Điện tái tạo
278,SAB,Tổng Công ty Cổ phần Bia - Rượu - Nước giải khát Sài Gòn,HOSE,Sản xuất bia
279,SAM,Công ty Cổ phần SAM HOLDINGS,HOSE,Thiết bị viễn thông
280,SAV,Công ty Cổ phần Hợp tác kinh tế và Xuất nhập khẩu SAVIMEX,HOSE,"Đồ đạc, nội thất"
281,SBA,Công ty Cổ phần Sông Ba,HOSE,Điện
282,SBT,Công ty Cổ phần Thành Thành Công - Biên Hòa,HOSE,Sản xuất thực phẩm
283,SBV,Công ty Cổ phần Siam Brothers Việt Nam,HOSE,Vật liệu xây dựng
284,SC5,Công ty Cổ phần Xây dựng số 5 ,HOSE,Xây dựng công trình
285,SCD,Công ty Cổ phần Nước Giải khát Chương Dương (CDBECO),HOSE,Nước ngọt
286,SCR,Công ty Cổ phần Địa ốc Sài Gòn Thương Tín,HOSE,Đầu tư và phát triển bất động sản
287,SCS,Công ty Cổ phần Dịch vụ Hàng hóa Sài Gòn,HOSE,Dịch vụ vận tải
288,SFC,Công ty Cổ phần Nhiên Liệu Sài Gòn ,HOSE,Cửa hàng chuyên dụng
289,SFG,Công ty Cổ phần phân bón Miền Nam,HOSE,Hóa chất đặc biệt
290,SFI,Công ty Cổ phần Đại lý Vận tải SAFI,HOSE,Vận tải biển
